email	name	phone_Number	major
Brande.Duffey@duke.edu	Brande Duffey 	(918) 528-8414	Art History
Aide.Plummer@duke.edu	Aide Plummer 	(918) 529-4818	Asian and Middle Eastern Studies
Laurence.Pottinger@duke.edu	Laurence Pottinger 	(918) 219-8765	Biology
Leona.Kimpel@duke.edu	Leona Kimpel 	(917) 837-2912	Biomedical Engineering*
Ona.Tarantino@duke.edu	Ona Tarantino 	(917) 564-5752	Biophysics
Tracie.Zirkle@duke.edu	Tracie Zirkle 	(916) 950-5534	Brazilian and Global Portuguese Studies
Nettie.Krogh@duke.edu	Nettie Krogh 	(915) 979-1994	Canadian Studies**
Garth.Earhart@duke.edu	Garth Earhart 	(915) 743-5978	Chemistry
Emilio.Tsan@duke.edu	Emilio Tsan 	(915) 393-5699	Civil Engineering*
Tish.Tickle@duke.edu	Tish Tickle 	(915) 261-2345	Classical Civilization
Candelaria.Buchler@duke.edu	Candelaria Buchler 	(912) 539-4002	Classical Languages
Eric.Threet@duke.edu	Eric Threet 	(912) 194-6023	Computer Science
Raguel.Wynn@duke.edu	Raguel Wynn 	(911) 157-4995	Cultural Anthropology
Trudy.Gondek@duke.edu	Trudy Gondek 	(910) 911-7432	Dance
Alberta.Aliff@duke.edu	Alberta Aliff 	(910) 485-6722	Earth and Ocean Sciences
Scarlett.Hillin@duke.edu	Scarlett Hillin 	(910) 795-8964	Economics
Tona.Gardin@duke.edu	Tona Gardin 	(910) 662-2391	Electrical and Computer Engineering*
Skye.Stahl@duke.edu	Skye Stahl 	(910) 421-6062	English
Demarcus.Vinzant@duke.edu	Demarcus Vinzant 	(910) 217-6053	Environmental Engineering*
Krishna.Goshorn@duke.edu	Krishna Goshorn 	(910) 804-5163	Environmental Sciences
Season.Eskew@duke.edu	Season Eskew 	(910) 623-2862	Environmental Sciences and Policy
Amado.Wolanski@duke.edu	Amado Wolanski 	(910) 324-1257	Evolutionary Anthropology
Marguerita.Vanhook@duke.edu	Marguerita Vanhook 	(899) 399-5570	French Studies
Shannon.Nieto@duke.edu	Shannon Nieto 	(898) 315-9479	German
Babara.Towler@duke.edu	Babara Towler 	(896) 468-3995	Global Cultural Studies
Herlinda.Dendy@duke.edu	Herlinda Dendy 	(895) 987-1129	Global Health**
Tawna.Gillett@duke.edu	Tawna Gillett 	(895) 635-7481	History
Jamal.Abernathy@duke.edu	Jamal Abernathy 	(894) 989-1055	Interdepartmental Major
Lashell.Waechter@duke.edu	Lashell Waechter 	(894) 304-8727	International Comparative Studies
Malinda.Santoyo@duke.edu	Malinda Santoyo 	(893) 427-1725	Italian Studies
Bernardina.Duncan@duke.edu	Bernardina Duncan 	(893) 225-7983	Linguistics
Lavina.Coger@duke.edu	Lavina Coger 	(892) 797-1855	Mathematics
Shirl.Pfeiffer@duke.edu	Shirl Pfeiffer 	(892) 569-9805	Mechanical Engineering*
Kirstie.Mincks@duke.edu	Kirstie Mincks 	(889) 234-2813	Medieval and Renaissance Studies
Silvia.Schisler@duke.edu	Silvia Schisler 	(888) 967-5603	Music
Armandina.Schwab@duke.edu	Armandina Schwab 	(888) 901-7302	Neuroscience
Emeline.Auston@duke.edu	Emeline Auston 	(887) 883-3790	Philosophy
Hugh.Puskar@duke.edu	Hugh Puskar 	(887) 840-5493	Physics
Felicidad.Feuerstein@duke.edu	Felicidad Feuerstein 	(886) 921-3739	Political Science
Shon.Wert@duke.edu	Shon Wert 	(886) 909-1013	"Program II (self-designed degree, BA or BS)"
Francene.Boone@duke.edu	Francene Boone 	(886) 849-3941	Psychology
Kathline.Cornelius@duke.edu	Kathline Cornelius 	(886) 210-6205	Public Policy Studies
Janel.Mee@duke.edu	Janel Mee 	(886) 110-7993	Religious Studies
Colton.Mikelson@duke.edu	Colton Mikelson 	(885) 349-6923	Romance Studies
Lindsay.Szabo@duke.edu	Lindsay Szabo 	(884) 212-6357	Russian
Patrice.Ryland@duke.edu	Patrice Ryland 	(884) 210-8898	Slavic and Eurasian Studies
Art.Diniz@duke.edu	Art Diniz 	(881) 145-8457	Sociology
Katharine.Bucher@duke.edu	Katharine Bucher 	(879) 948-5627	"Spanish, Latin American, and Latino/a Studies"
Clarissa.Pannone@duke.edu	Clarissa Pannone 	(879) 226-5082	Statistical Science
Malika.Pouliot@duke.edu	Malika Pouliot 	(878) 732-8366	Theater Studies
Soledad.Oglesbee@duke.edu	Soledad Oglesbee 	(878) 539-5812	Visual Arts
Doreen.Milledge@duke.edu	Doreen Milledge 	(877) 926-6913	Visual and Media Studies
Johna.Willeford@duke.edu	Johna Willeford 	(877) 505-4091	Women's Studies
Alvin.Joesph@duke.edu	Alvin Joesph 	(876) 999-3677	African and African American Studies
Terrilyn.Sarabia@duke.edu	Terrilyn Sarabia 	(875) 651-7525	Art History
Desire.Getman@duke.edu	Desire Getman 	(875) 278-9383	Asian and Middle Eastern Studies
Latrina.Ertle@duke.edu	Latrina Ertle 	(875) 115-4816	Biology
Amee.Flinchbaugh@duke.edu	Amee Flinchbaugh 	(874) 907-1625	Biomedical Engineering*
Herta.Meltzer@duke.edu	Herta Meltzer 	(874) 764-1522	Biophysics
Wan.Catoe@duke.edu	Wan Catoe 	(873) 946-5354	Brazilian and Global Portuguese Studies
Larisa.Haider@duke.edu	Larisa Haider 	(873) 875-8414	Canadian Studies**
Brianna.Dingus@duke.edu	Brianna Dingus 	(873) 572-6329	Chemistry
Delmer.Oliphant@duke.edu	Delmer Oliphant 	(873) 173-2797	Civil Engineering*
Veta.Shumake@duke.edu	Veta Shumake 	(872) 434-9897	Classical Civilization
Karole.Fontaine@duke.edu	Karole Fontaine 	(871) 871-5934	Classical Languages
Cyndy.Parchman@duke.edu	Cyndy Parchman 	(871) 780-5907	Computer Science
Trang.Weymouth@duke.edu	Trang Weymouth 	(870) 388-4165	Cultural Anthropology
Deeann.Moorhouse@duke.edu	Deeann Moorhouse 	(869) 849-2535	Dance
Glendora.Arnett@duke.edu	Glendora Arnett 	(869) 267-7796	Earth and Ocean Sciences
Chelsea.Mandell@duke.edu	Chelsea Mandell 	(869) 200-9170	Economics
Tawanna.Lopez@duke.edu	Tawanna Lopez 	(868) 506-7827	Electrical and Computer Engineering*
Fleta.Friend@duke.edu	Fleta Friend 	(867) 460-1703	English
Lupita.Soliz@duke.edu	Lupita Soliz 	(864) 604-3424	Environmental Engineering*
Carolynn.Lisby@duke.edu	Carolynn Lisby 	(863) 681-1380	Environmental Sciences
Rex.Harstad@duke.edu	Rex Harstad 	(862) 488-2974	Environmental Sciences and Policy
Josette.Elsea@duke.edu	Josette Elsea 	(861) 755-6722	Evolutionary Anthropology
Esperanza.Conklin@duke.edu	Esperanza Conklin 	(861) 352-6635	French Studies
Melany.Vasko@duke.edu	Melany Vasko 	(860) 973-7373	German
Rebbecca.Teitelbaum@duke.edu	Rebbecca Teitelbaum 	(860) 601-4222	Global Cultural Studies
Leta.Buzard@duke.edu	Leta Buzard 	(860) 515-6952	Global Health**
Alex.Copenhaver@duke.edu	Alex Copenhaver 	(860) 850-5797	History
Joey.Trafton@duke.edu	Joey Trafton 	(859) 630-3139	Interdepartmental Major
Raina.Rizzo@duke.edu	Raina Rizzo 	(859) 413-8012	International Comparative Studies
Bernadine.Reasoner@duke.edu	Bernadine Reasoner 	(858) 164-9256	Italian Studies
Pauline.Stoney@duke.edu	Pauline Stoney 	(857) 483-8956	Linguistics
Setsuko.Steele@duke.edu	Setsuko Steele 	(857) 463-2903	Mathematics
Hee.Fetterolf@duke.edu	Hee Fetterolf 	(856) 799-6090	Mechanical Engineering*
Kiera.Even@duke.edu	Kiera Even 	(856) 186-7138	Medieval and Renaissance Studies
Elyse.Davi@duke.edu	Elyse Davi 	(854) 140-6004	Music
Lesia.Cayetano@duke.edu	Lesia Cayetano 	(853) 553-1427	Neuroscience
Virgina.Mister@duke.edu	Virgina Mister 	(853) 444-7965	Philosophy
Giovanni.Bucholz@duke.edu	Giovanni Bucholz 	(852) 719-1641	Physics
Ardelia.Wendorf@duke.edu	Ardelia Wendorf 	(852) 374-5206	Political Science
Aundrea.Halliday@duke.edu	Aundrea Halliday 	(851) 725-8632	"Program II (self-designed degree, BA or BS)"
Jasmine.Sutterfield@duke.edu	Jasmine Sutterfield 	(851) 546-2555	Psychology
Sachiko.Sliger@duke.edu	Sachiko Sliger 	(851) 322-1414	Public Policy Studies
Lasonya.Marable@duke.edu	Lasonya Marable 	(850) 562-8233	Religious Studies
Ferdinand.Herford@duke.edu	Ferdinand Herford 	(850) 375-7007	Romance Studies
Merna.Keisler@duke.edu	Merna Keisler 	(849) 259-2390	Russian
Clorinda.Burrows@duke.edu	Clorinda Burrows 	(848) 673-3441	Slavic and Eurasian Studies
Allie.Meller@duke.edu	Allie Meller 	(848) 640-1356	Sociology
Joannie.Oldfield@duke.edu	Joannie Oldfield 	(848) 164-1153	"Spanish, Latin American, and Latino/a Studies"
Wai.Dock@duke.edu	Wai Dock 	(847) 116-9237	Statistical Science
Elvis.Renda@duke.edu	Elvis Renda 	(846) 846-9230	Theater Studies
Elenora.Wolff@duke.edu	Elenora Wolff 	(844) 616-9903	Visual Arts
Karla.Hodgkinson@duke.edu	Karla Hodgkinson 	(844) 364-3864	Visual and Media Studies
Donette.Neely@duke.edu	Donette Neely 	(843) 838-9508	Women's Studies
Divina.Buchwald@duke.edu	Divina Buchwald 	(843) 359-5506	African and African American Studies
Dante.Goldsby@duke.edu	Dante Goldsby 	(843) 110-4909	Art History
Annabell.Kocian@duke.edu	Annabell Kocian 	(842) 436-5282	Asian and Middle Eastern Studies
Amiee.Ferrari@duke.edu	Amiee Ferrari 	(842) 126-4341	Biology
Nakita.Burtenshaw@duke.edu	Nakita Burtenshaw 	(841) 840-8394	Biomedical Engineering*
Bonita.Bogar@duke.edu	Bonita Bogar 	(841) 207-3570	Biophysics
Silvia.Neblett@duke.edu	Silvia Neblett 	(840) 962-6906	Brazilian and Global Portuguese Studies
Hien.Widner@duke.edu	Hien Widner 	(840) 306-9870	Canadian Studies**
Echo.Katz@duke.edu	Echo Katz 	(840) 288-2853	Chemistry
Shayla.Vantassel@duke.edu	Shayla Vantassel 	(840) 341-7575	Civil Engineering*
Margy.Sabbagh@duke.edu	Margy Sabbagh 	(840) 332-3548	Classical Civilization
Zenaida.Stthomas@duke.edu	Zenaida Stthomas 	(840) 266-2076	Classical Languages
Jaclyn.Pilling@duke.edu	Jaclyn Pilling 	(839) 478-8130	Computer Science
Janella.Garden@duke.edu	Janella Garden 	(839) 121-5974	Cultural Anthropology
Wilbur.Noe@duke.edu	Wilbur Noe 	(837) 555-7222	Dance
Jacelyn.Martindale@duke.edu	Jacelyn Martindale 	(837) 417-1976	Earth and Ocean Sciences
Mari.Mcdole@duke.edu	Mari Mcdole 	(836) 865-3865	Economics
Rigoberto.Burchett@duke.edu	Rigoberto Burchett 	(836) 250-4109	Electrical and Computer Engineering*
Deanne.Gifford@duke.edu	Deanne Gifford 	(835) 659-1201	English
Selena.Piasecki@duke.edu	Selena Piasecki 	(832) 531-4907	Environmental Engineering*
Lisabeth.Dejonge@duke.edu	Lisabeth Dejonge 	(832) 186-4018	Environmental Sciences
Angelique.Losee@duke.edu	Angelique Losee 	(831) 552-9565	Environmental Sciences and Policy
Milagro.Aiello@duke.edu	Milagro Aiello 	(830) 519-5528	Evolutionary Anthropology
Suzan.Kreiger@duke.edu	Suzan Kreiger 	(830) 930-3314	French Studies
Inger.Rives@duke.edu	Inger Rives 	(830) 122-3347	German
Leisha.Starcher@duke.edu	Leisha Starcher 	(829) 878-9200	Global Cultural Studies
Elza.Shirey@duke.edu	Elza Shirey 	(829) 805-2201	Global Health**
Setsuko.Gurney@duke.edu	Setsuko Gurney 	(829) 636-1751	History
Agueda.Tovar@duke.edu	Agueda Tovar 	(828) 900-4904	Interdepartmental Major
Casie.Gerke@duke.edu	Casie Gerke 	(828) 729-9266	International Comparative Studies
Shirleen.Schroyer@duke.edu	Shirleen Schroyer 	(828) 213-5973	Italian Studies
Jeff.Notaro@duke.edu	Jeff Notaro 	(827) 955-5317	Linguistics
Suzette.Ruelas@duke.edu	Suzette Ruelas 	(826) 896-5191	Mathematics
Samara.Hurt@duke.edu	Samara Hurt 	(826) 537-1451	Mechanical Engineering*
Avis.Street@duke.edu	Avis Street 	(826) 125-4000	Medieval and Renaissance Studies
Elvie.Weiser@duke.edu	Elvie Weiser 	(825) 655-7647	Music
Daniela.Calender@duke.edu	Daniela Calender 	(825) 184-1103	Neuroscience
Tiffaney.Alanis@duke.edu	Tiffaney Alanis 	(824) 588-4673	Philosophy
Kimbra.Shipton@duke.edu	Kimbra Shipton 	(823) 684-4928	Physics
Selina.Riney@duke.edu	Selina Riney 	(821) 233-5754	Political Science
Beverly.Crespin@duke.edu	Beverly Crespin 	(820) 586-7328	"Program II (self-designed degree, BA or BS)"
Ta.Audet@duke.edu	Ta Audet 	(820) 937-4555	Psychology
Bula.Cann@duke.edu	Bula Cann 	(820) 655-4666	Public Policy Studies
Cheri.Dukes@duke.edu	Cheri Dukes 	(818) 981-2793	Religious Studies
Arturo.Pare@duke.edu	Arturo Pare 	(818) 528-1319	Romance Studies
Kathyrn.Litman@duke.edu	Kathyrn Litman 	(817) 583-8508	Russian
Nieves.Record@duke.edu	Nieves Record 	(816) 206-5215	Slavic and Eurasian Studies
Wynona.Marse@duke.edu	Wynona Marse 	(815) 639-2507	Sociology
Margert.Sarkis@duke.edu	Margert Sarkis 	(815) 303-7185	"Spanish, Latin American, and Latino/a Studies"
Shakia.Near@duke.edu	Shakia Near 	(814) 874-6205	Statistical Science
Leola.Yadon@duke.edu	Leola Yadon 	(814) 101-5667	Theater Studies
Syreeta.Fraizer@duke.edu	Syreeta Fraizer 	(811) 539-9817	Visual Arts
Neville.Saucedo@duke.edu	Neville Saucedo 	(811) 260-1692	Visual and Media Studies
Kennith.Hendley@duke.edu	Kennith Hendley 	(810) 683-2753	Women's Studies
Jules.Ferdinand@duke.edu	Jules Ferdinand 	(810) 153-9301	African and African American Studies
Shawn.Lobdell@duke.edu	Shawn Lobdell 	(810) 383-3942	Art History
Dorian.Neese@duke.edu	Dorian Neese 	(799) 404-6966	Asian and Middle Eastern Studies
Jodi.Torbert@duke.edu	Jodi Torbert 	(798) 586-5623	Biology
Frieda.Geise@duke.edu	Frieda Geise 	(796) 472-3208	Biomedical Engineering*
Dion.Digennaro@duke.edu	Dion Digennaro 	(795) 842-5860	Biophysics
Noemi.Schumaker@duke.edu	Noemi Schumaker 	(795) 737-6779	Brazilian and Global Portuguese Studies
Alex.Fife@duke.edu	Alex Fife 	(794) 863-6429	Canadian Studies**
Celine.Scranton@duke.edu	Celine Scranton 	(793) 547-1797	Chemistry
Chantell.Horst@duke.edu	Chantell Horst 	(792) 572-6274	Civil Engineering*
Lessie.Stephens@duke.edu	Lessie Stephens 	(792) 488-4559	Classical Civilization
Manda.Tokarz@duke.edu	Manda Tokarz 	(792) 406-4577	Classical Languages
Polly.Friedrich@duke.edu	Polly Friedrich 	(791) 423-4382	Computer Science
Shelby.Yarnell@duke.edu	Shelby Yarnell 	(791) 297-6262	Cultural Anthropology
Jospeh.Allyn@duke.edu	Jospeh Allyn 	(791) 124-9756	Dance
Elvie.Paley@duke.edu	Elvie Paley 	(790) 833-9585	Earth and Ocean Sciences
Jarvis.Mctaggart@duke.edu	Jarvis Mctaggart 	(789) 982-6073	Economics
Collen.Machen@duke.edu	Collen Machen 	(789) 797-7459	Electrical and Computer Engineering*
Jeannette.Vandergriff@duke.edu	Jeannette Vandergriff 	(788) 963-6668	English
Holly.Lauder@duke.edu	Holly Lauder 	(788) 691-3546	Environmental Engineering*
Veronika.Eide@duke.edu	Veronika Eide 	(788) 336-4626	Environmental Sciences
Evette.Dake@duke.edu	Evette Dake 	(788) 297-4031	Environmental Sciences and Policy
Ricki.Eckart@duke.edu	Ricki Eckart 	(786) 831-8097	Evolutionary Anthropology
Mignon.Cecena@duke.edu	Mignon Cecena 	(786) 580-7935	French Studies
Maynard.To@duke.edu	Maynard To 	(781) 594-9105	German
Karole.Chronister@duke.edu	Karole Chronister 	(781) 322-9655	Global Cultural Studies
Stefani.Flanders@duke.edu	Stefani Flanders 	(780) 928-4713	Global Health**
Bryce.Mcclellan@duke.edu	Bryce Mcclellan 	(777) 912-8289	History
Millie.Renard@duke.edu	Millie Renard 	(776) 661-9403	Interdepartmental Major
Krystyna.Sarvis@duke.edu	Krystyna Sarvis 	(775) 988-6369	International Comparative Studies
Goldie.Rumery@duke.edu	Goldie Rumery 	(775) 725-3256	Italian Studies
Gracie.Dantin@duke.edu	Gracie Dantin 	(775) 119-4208	Linguistics
Nancy.Klenke@duke.edu	Nancy Klenke 	(774) 264-1263	Mathematics
Alisha.Saban@duke.edu	Alisha Saban 	(774) 254-2670	Mechanical Engineering*
Willard.Cherry@duke.edu	Willard Cherry 	(772) 660-6594	Medieval and Renaissance Studies
Jean.Harbuck@duke.edu	Jean Harbuck 	(772) 424-3099	Music
Luciana.Elmore@duke.edu	Luciana Elmore 	(772) 224-9165	Neuroscience
Merideth.Kersey@duke.edu	Merideth Kersey 	(771) 474-8856	Philosophy
Vanetta.Arvizu@duke.edu	Vanetta Arvizu 	(771) 354-5759	Physics
Dione.Nembhard@duke.edu	Dione Nembhard 	(770) 880-6648	Political Science
Nakisha.Vancleve@duke.edu	Nakisha Vancleve 	(770) 657-5748	"Program II (self-designed degree, BA or BS)"
Khalilah.Lambson@duke.edu	Khalilah Lambson 	(770) 700-1163	Psychology
Berniece.Mccuin@duke.edu	Berniece Mccuin 	(770) 375-7227	Public Policy Studies
Sharon.Ridley@duke.edu	Sharon Ridley 	(770) 155-4412	Religious Studies
Iluminada.Carlen@duke.edu	Iluminada Carlen 	(769) 550-9108	Romance Studies
Mahalia.Rayburn@duke.edu	Mahalia Rayburn 	(767) 525-5493	Russian
Clair.Raminez@duke.edu	Clair Raminez 	(765) 471-9764	Slavic and Eurasian Studies
Josephine.Brantner@duke.edu	Josephine Brantner 	(765) 474-3266	Sociology
Katherina.Lukes@duke.edu	Katherina Lukes 	(764) 233-4470	"Spanish, Latin American, and Latino/a Studies"
Keshia.Klausner@duke.edu	Keshia Klausner 	(762) 235-4259	Statistical Science
Merrilee.Pon@duke.edu	Merrilee Pon 	(760) 920-6869	Theater Studies
Angelyn.Donohoe@duke.edu	Angelyn Donohoe 	(760) 787-8794	Visual Arts
Manuel.Chason@duke.edu	Manuel Chason 	(759) 666-5969	Visual and Media Studies
Adelaide.Aguillon@duke.edu	Adelaide Aguillon 	(759) 645-4941	Women's Studies
Rosamond.Weick@duke.edu	Rosamond Weick 	(759) 293-7589	African and African American Studies
Rebecka.Victorian@duke.edu	Rebecka Victorian 	(758) 768-1914	Art History
