start_time	seller_email	book_ISBN	is_auction	is_buy_it_now	condition	description	start_price	buy_it_now_price	title																			
1446288001	Lakiesha.Rome@duke.edu	72348984	1	1	New		110.08	130.08	 Gerald D. Schmidt & Larry S. Roberts' Foundations of Parasitology																			
1446239266	Tena.Goosby@duke.edu	72350539	1	1	New		78.8	98.8	 Principles of Environmental Engineering and Science																			
1446455916	Bertram.Lafond@duke.edu	72380322	1	1	New		24.94	44.94	 Design of Analog Cmos Integrated Circuits																			
1446474534	Linh.Rask@duke.edu	72385790	1	1	New		102.84	122.84	 An Introduction to Biological Evolution																			
1446306848	Nicolas.Bolduc@duke.edu	72392665	1	1	New		88.17	108.17	 Plant Design and Economics for Chemical Engineers																			
1446377638	Alaine.Mackey@duke.edu	72398876	1	1	New		76.34	96.34	 Management of a Sales Force																			
1446334068	Elina.Hong@duke.edu	72402318	1	1	New		43.44	63.44	 Viscious Fluid Flow																			
1446390518	Sabine.Sowa@duke.edu	72406550	1	1	New		78.59	98.59	 Heat Transfer																			
1446325770	Georgia.Necessary@duke.edu	72431881	1	1	New		104.27	124.27	 Introduction to Transportation Engineering																			
1446483311	Evangeline.Gokey@duke.edu	72432020	1	1	New		31.05	51.05	 Fluid Mechanics With Engineering Applications																			
1446286099	Judy.Shahan@duke.edu	72437316	1	1	New		32.03	52.03	 Biology																			
1446334085	Shira.Shumake@duke.edu	72448482	1	1	New		39.4	59.4	 Concepts of Modern Physics																			
1446405366	Faustino.Delima@duke.edu	72452692	1	1	New		41.49	61.49	 Money/ Banking And Financial Markets																			
1446230101	Ethan.Southwood@duke.edu	72460539	1	1	New		98.56	118.56	 Cmos Digital Integrated Circuits:  Analysis and Design																			
1446313637	Carlotta.Schweitzer@duke.edu	007246352X	1	1	New		43.77	63.77	 Communication Networks:  Fundamental Concepts and Key Architectures																			
1446338807	Amie.Cheesman@duke.edu	007246464X	1	1	New		35.95	55.95	 Biology																			
1446293027	Alix.Bixby@duke.edu	72465239	1	1	New		46.7	66.7	 Electric Machinery Fundamentals																			
1446405641	Migdalia.Sprvill@duke.edu	72465638	1	1	New		123.95	143.95	 Database Management Systems																			
1446252351	Wayne.Sorrels@duke.edu	72466855	1	1	New		80.62	100.62	 Introduction To The Finite Element Method																			
1446249861	Ariel.Brannon@duke.edu	72467509	1	1	New		93.32	113.32	 Introduction to Computing Systems:  From Bits and Gates to C and Beyond																			
1446511911	Hollis.Rocchio@duke.edu	72468246	1	1	New		53.06	73.06	 Methods/ Standards/ and Work Design																			
1446553408	Awilda.Tunstall@duke.edu	007246836X	1	1	New		76.53	96.53	 Introduction to Probability and Statistics:  Principles and Applications for Engineering and the Computing System																			
1446244372	Alden.Golliday@duke.edu	72471468	1	1	New		146.12	166.12	 Product Design and Development																			
1446490640	Stanford.Hagerty@duke.edu	72478527	1	1	New		84.33	104.33	 Basic Econometrics																			
1446439747	Britt.Kwak@duke.edu	72492953	1	1	New		48.26	68.26	 Music:  An Appreciation																			
1446411891	Bobbye.Leavitt@duke.edu	72499389	1	1	New		132.85	152.85	 Fundamentals of Digital Logic with VHDL Design																			
1446480250	Lanell.Glanton@duke.edu	72505036	1	1	New		22.83	42.83	 Microelectronic Circuit Design																			
1446203152	Alexa.Acquaviva@duke.edu	72525231	1	1	New		33.62	53.62	 Basic Marketing:  A Global-Managerial Approach																			
1446232132	Carrie.Verdugo@duke.edu	72528303	1	1	New		83.83	103.83	 Vertebrates:  Comparative Anatomy/ Function/ Evolution																			
1446369085	Scottie.Poissant@duke.edu	72534958	1	1	New		97.68	117.68	 Physical Chemistry																			
1446466798	Neal.Woodburn@duke.edu	72819359	1	1	New		127.87	147.87	 Economics:  Principles/ Problems/ and Policies																			
1446385346	Luciano.Madonia@duke.edu	72823402	1	1	New	For ECON602	44.04	64.04	 Macroeconomics																			
1446360823	Regena.Conner@duke.edu	72827416	1	1	New		76.94	96.94	 Vander's Human Physiology:  The Mechanisms of Body Function																			
1446427523	Josh.Funk@duke.edu	72828803	1	1	New		57.8	77.8	 Marketing																			
1446279573	Emmie.Stoll@duke.edu	72829206	1	1	New		47.84	67.84	 Corporate Finance																			
1446281126	Shenna.Horne@duke.edu	72830085	1	1	New		121.35	141.35	 Cost Management:  Strategies for Business Decisions																			
1446238476	Tobias.Jorgenson@duke.edu	72830875	1	1	New		121.17	141.17	 Marketing Research:  Within A Changing Information Environment																			
1446395454	Anisa.Tatro@duke.edu	72831561	1	1	New		140.92	160.92	 World Class Supply Management:  Key to Supply Chain Management																			
1446347218	Mollie.Pietrzak@duke.edu	72834943	1	1	New		83.77	103.77	 Managerial Accounting																			
1446474839	Tameika.Thome@duke.edu	72838787	1	1	New		69.2	89.2	 Fundamentals of Digital Logic With Verilog Design																			
1446230417	Taisha.Pride@duke.edu	72846119	1	1	New		141.87	161.87	 Molecular Biology																			
1446357470	Lanie.Bald@duke.edu	72848235	1	1	New		56.21	76.21	 Unit Operations of Chemical Engineering																			
1446376646	Almeda.Holmberg@duke.edu	72859342	1	1	New		75.61	95.61	 Gilbert's Living with Art																			
1446201556	Wendell.Tocco@duke.edu	72861789	1	1	New		21.97	41.97	 Investments																			
1446231967	Arletta.Jiang@duke.edu	72864478	1	1	New		144.05	164.05	 Design of Machinery: An Introduction to the Synthesis and Analysis of Mechanisms and Machines																			
1446368407	Tyrone.Rozier@duke.edu	72864877	1	1	New		61.94	81.94	 Consumer Behavior and Marketing Strategy																			
1446394535	China.Chavarin@duke.edu	72865784	1	1	New		87.97	107.97	 Business Marketing:  Connecting Strategy/relationships/ And Learning																			
1446420995	Rozella.Studebaker@duke.edu	72865989	1	1	New		55.4	75.4	 Product Management																			
1446363004	Kris.Craddock@duke.edu	72871776	1	1	New		70.45	90.45	 Labor Economics																			
1446359174	Alma.Kirby@duke.edu	72872527	1	1	New		127.69	147.69	 Complex Variables and Applications																			
1446330608	Fabiola.Hartshorn@duke.edu	72873795	1	1	New		66.23	86.23	 Purchasing and Supply Management:  With 50 Supply Chain Cases																			
1446558157	Velia.Malagon@duke.edu	72875062	1	1	New		114.8	134.8	 Anatomy & Physiology:  The Unity Of Form And Function																			
1446407246	Jenelle.Delpino@duke.edu	72876484	1	1	New		146.53	166.53	 Public Finance																			
1446400063	Earline.Christian@duke.edu	72881208	1	1	New		147.09	167.09	 Leadership:  Enhancing The Lessons Of Experience																			
1446211820	Zenaida.Rehbein@duke.edu	72887605	1	1	New		22.55	42.55	 Perception																			
1446176286	Alline.Eilers@duke.edu	72918993	1	1	New		105.39	125.39	 Matching Supply With Demand:  An Introduction To Operations Management																			
1446492997	Collette.Fetzer@duke.edu	72919817	1	1	Likenew		135.35	155.35	 Simulation With Arena																			
1446448005	Hae.Underhill@duke.edu	72921641	1	1	Likenew		145.77	165.77	 Biology																			
1446311609	Reggie.Inoue@duke.edu	72921935	1	1	Likenew		37.99	57.99	 Mechanical Engineering Design																			
1446340270	Liz.Boniello@duke.edu	72922184	1	1	Likenew		59.37	79.37	 Understanding Business																			
1446440489	Fran.Sylvia@duke.edu	72922427	1	1	Likenew		145.25	165.25	 Introduction to Matlab 7 for Engineers																			
1446458916	Tamela.Winsor@duke.edu	007293414X	1	1	Likenew		141.08	161.08	 Investments																			
1446410930	Nestor.Calvo@duke.edu	007293588X	1	1	Likenew		69	89	 Management Information Systems																			
1446499225	Tierra.Givan@duke.edu	72936932	1	1	Likenew		20.24	40.24	 Managerial Accounting																			
1446563680	Orpha.Kraus@duke.edu	72947756	1	1	Likenew		132.24	152.24	 Corporate Information Strategy And Management:  Text And Cases																			
1446344165	Whitley.Mahon@duke.edu	72947888	1	1	Likenew		149.49	169.49	 Supply Chain Logistics Management																			
1446398041	Byron.Leek@duke.edu	72951753	1	1	Likenew		46.3	66.3	 Microbiology With Password for Online Learning Center																			
1446522452	Grisel.Tomasek@duke.edu	72957239	1	1	Likenew		107.16	127.16	 Principles Of Corporate Finance																			
1446344253	Rima.Mcnamara@duke.edu	72958863	1	1	Likenew		54.18	74.18	 Database System Concepts																			
1446291774	Sheila.Sheley@duke.edu	72961449	1	1	Likenew		22.46	42.46	 New Products Management																			
1446275142	Lowell.Hopple@duke.edu	007296183X	1	1	Likenew		42.89	62.89	 Churchill/ford/walker's Sales Force Management																			
1446329648	Creola.Deveau@duke.edu	72961902	1	1	Likenew		83.31	103.31	 Marketing Strategy:  A Decision-Focused Approach																			
1446392772	Adelina.Annunziata@duke.edu	72961945	1	1	Likenew		56.75	76.75	 Services Marketing:  Integrating Customer Focus Across The Firm																			
1446488128	Claudine.Ortega@duke.edu	007296216X	1	1	Likenew		75.03	95.03	 Preface To Marketing Management																			
1446398089	Eugenia.Willmon@duke.edu	72962216	1	1	Likenew		63.24	83.24	 Crafting And Executing Strategy:  The Quest For Competitive Advantage																			
1446471180	Leonarda.Joyal@duke.edu	72963050	1	1	Likenew		146.64	166.64	 Introduction to Mechatronics and Measurement Systems																			
1446566901	Melissa.Lytton@duke.edu	72964200	1	1	Likenew		100.24	120.24	 Construction Planning/ Equipment/ and Methods																			
1446530826	Clement.Croston@duke.edu	72964464	1	1	Likenew		54.02	74.02	 Business and Administrative Communication																			
1446552479	Lindsey.Pendergraft@duke.edu	72964723	1	1	Likenew		81.25	101.25	 Contemporary Advertising																			
1446396861	Michell.Notaro@duke.edu	72965975	1	1	Likenew		113.78	133.78	 Genetics:  Analysis and Principles																			
1446462626	Sarita.Barto@duke.edu	72966343	1	1	Likenew		101.08	121.08	 Strategic Marketing.																			
1446251068	Keven.Conlon@duke.edu	72966556	1	1	Likenew		52.32	72.32	 Music:  An Appreciation																			
1446383207	Lauran.Summerville@duke.edu	72967722	1	1	Likenew		90.09	110.09	 Tcp/ip:  Protocol Suite																			
1446340091	Eileen.Chess@duke.edu	72971215	1	1	Likenew		67.37	87.37	 Statistical Techniques in Business and Economics																			
1446315089	Isreal.Urban@duke.edu	72971223	1	1	Likenew		21.47	41.47	 Operations Management																			
1446466029	Tomi.Maggio@duke.edu	72971231	1	1	Likenew		49.8	69.8	 Corporate Finance																			
1446178016	Jerrold.Vanderhorst@duke.edu	72975865	1	1	Likenew		48.66	68.66	 Accounting For Decision Making And Control																			
1446299967	Dwayne.Seal@duke.edu	72976756	1	1	Likenew		111.9	131.9	 Fundamentals of Thermal-fluid Sciences																			
1446520335	Julianna.Wurster@duke.edu	72976861	1	1	Likenew		131.13	151.13	 Organizational Behavior:  Emerging Realities for the Workplace Revolution																			
1446325776	Trudy.Borgen@duke.edu	72977353	1	1	Likenew		31.65	51.65	 Advanced Financial Accounting																			
1446494980	Leighann.Cruickshank@duke.edu	72977450	1	1	Likenew		56.54	76.54	 Microeconomics And Behavior																			
1446334580	Dean.Wittmer@duke.edu	72977515	1	1	Likenew		44.07	64.07	 Social Psychology																			
1446461562	Margurite.Klingman@duke.edu	72977558	1	1	Likenew		45.87	65.87	 Adolescence																			
1446416717	Marlena.Babb@duke.edu	72978635	1	1	Likenew		61.63	81.63	 Project Management:  The Managerial Process																			
1446506933	Alverta.Fiorito@duke.edu	72979526	1	1	Likenew		147.09	167.09	 Organic Chemistry																			
1446530726	Lorriane.Freed@duke.edu	72980907	1	1	Likenew		131.77	151.77	 Mechanics of Materials																			
1446483223	Linnie.Blais@duke.edu	72982713	1	1	Likenew		51.13	71.13	 Economics																			
1446350443	Aleisha.Beer@duke.edu	72983019	1	1	Likenew		40.95	60.95	 Business Driven Technology																			
1446275993	Isaac.Sharman@duke.edu	72983809	1	1	Likenew		113.03	133.03	 Basic Marketing																			
1446403599	Ambrose.Homeyer@duke.edu	72983906	1	1	Likenew		20.43	40.43	 Operations Management for Competitive Advantage																			
1446362280	Colton.Gilchrist@duke.edu	72986212	1	1	Likenew		132.93	152.93	 Business and Society:  Stakeholders/ Ethics/ Public Policy																			
1446226139	Carey.Santoyo@duke.edu	72986220	1	1	Likenew		121.45	141.45	 Research Methods In Psychology																			
1446505508	Alfonzo.Lopez@duke.edu	72987170	1	1	Likenew		88.13	108.13	 Organizations:  Behavior/ Structure/ Processes																			
1446440029	Darline.Boyton@duke.edu	72987227	1	1	Likenew		76.03	96.03	 Staffing Organizations																			
1446377717	Marilynn.Bickett@duke.edu	72987286	1	1	Likenew		108.54	128.54	 Human Resource Management																			
1446443553	Yulanda.Abram@duke.edu	72987324	1	1	Likenew		43.92	63.92	 Managing Human Resources:  Productivity/ Quality Of Work Life/ Profits																			
1446480132	Sheilah.Mone@duke.edu	007298936X	1	1	Likenew		70.93	90.93	 Gilbert's Living With Art																			
1446320067	Synthia.Bhatt@duke.edu	72990716	1	1	Likenew		60.8	80.8	 Introduction to Flight																			
1446329766	Oswaldo.Keim@duke.edu	72991054	1	1	Likenew		144.42	164.42	 Fundamental Managerial Accounting Concepts																			
1446455252	Barbara.Estey@duke.edu	72992565	1	1	Likenew		76.69	96.69	 Employee Training and Development																			
1446516008	Shelba.Kissell@duke.edu	72994029	1	1	Likenew		137.1	157.1	 Intermediate Accounting																			
1446385402	Clair.Splawn@duke.edu	72994355	1	1	Likenew		116.36	136.36	 Fundamentals of Operations Management																			
1446446810	Ashely.Owens@duke.edu	72994428	1	1	Likenew		22.24	42.24	 Business/ Government And Society:  A Managerial Perspective/ Text and Cases																			
1446313280	Lakenya.Ord@duke.edu	72995688	1	1	Likenew		31.64	51.64	 The Art of Leadership																			
1446481348	Nevada.Kimber@duke.edu	72996862	1	1	Likenew		98.77	118.77	 International Financial Management																			
1446349806	Felisa.Pete@duke.edu	73011215	1	1	Likenew		122.72	142.72	 Accounting:  What the Numbers Mean																			
1446400238	Dale.Knebel@duke.edu	73012386	1	1	Likenew		20.01	40.01	 Fundamentals of Corporate Finance																			
1446236671	Kellee.Guillory@duke.edu	73016039	1	1	Likenew		60.06	80.06	 System Dynamics																			
1446374185	Brynn.Veliz@duke.edu	73018376	1	1	Likenew		124.06	144.06	 Fundamentals Of Cost Accounting																			
1446394509	Clara.Ordway@duke.edu	73018651	1	1	Likenew		92.02	112.02	 Production and Operations Analysis																			
1446339434	Christia.Umland@duke.edu	007301933X	1	1	Likenew		55.21	75.21	 Software Engineering:  A Practitioner's Approach																			
1446456768	Arlie.Bolenbaugh@duke.edu	73040762	1	1	Likenew		119.48	139.48	 Human Physiology																			
1446343158	Stacia.Husain@duke.edu	73044652	1	1	Likenew		87.36	107.36	 Fluid Mechanics:  Fundamentals and Applications																			
1446333816	Marceline.Goe@duke.edu	73046671	1	1	Likenew		30.03	50.03	 Financial Institutions Management:  A Risk Management Approach																			
1446337496	Nell.Goldberg@duke.edu	73048380	1	1	Likenew		52.04	72.04	 Mp:  Microbiology a Systems Approach W/ Olc Bind-in Card																			
1446506740	Andree.Alongi@duke.edu	73049204	1	1	Likenew		22.59	42.59	 Essentials of Marketing																			
1446248165	Tyra.Brawn@duke.edu	73049212	1	1	Likenew		27.02	47.02	 Contemporary Management																			
1446493142	Myrta.Kain@duke.edu	73050199	1	1	Likenew		99.55	119.55	 Managerial Economics And Business Strategy																			
1446502593	Marylyn.Lippold@duke.edu	73051888	1	1	Likenew		20.29	40.29	 Elementary Number Theory																			
1446451901	Jackson.Blazer@duke.edu	73051896	1	1	Likenew		31.78	51.78	 The History of Mathematics:  An Introduction																			
1446408828	Roberto.Derksen@duke.edu	73052337	1	1	Likenew		93.85	113.85	 Systems Analysis and Design Methods																			
1446485989	Gale.Fleener@duke.edu	73080152	1	1	Likenew		119.97	139.97	 Marketing																			
1446338588	Loyce.Oconnor@duke.edu	73100234	1	1	Likenew		112.07	132.07	 Financial Statement Analysis																			
1446487773	Gregory.Niemi@duke.edu	73101567	1	1	Likenew		110.44	130.44	 Numerical Methods for Engineers																			
1446412066	Adena.Shelman@duke.edu	73101591	1	1	Likenew		128.75	148.75	 Chemistry In Context:  Applying Chemistry to Society																			
1446339330	Particia.Landeros@duke.edu	73101699	1	1	Likenew		114.49	134.49	 Chemistry:  The Molecular Nature Of Matter And Change - With Access Card																			
1446398675	Howard.Branco@duke.edu	73101702	1	1	Likenew		148.2	168.2	 Organic Chemistry																			
1446437473	Lovetta.Stamey@duke.edu	73101710	1	1	Likenew		27.09	47.09	 Introduction to Geographic Information Systems																			
1446562299	Elaine.Matus@duke.edu	73101745	1	1	Likenew		53.06	73.06	 Mp:  Integrated Principles of Zoology W/olc																			
1446238750	Reiko.Jaffe@duke.edu	73101761	1	1	Likenew		33.04	53.04	 Human Biology																			
1446425462	Jillian.Pavia@duke.edu	73102555	1	1	Likenew		113.79	133.79	 International Business:  Competing in the Global Marketplace																			
1446351280	Enriqueta.Sexton@duke.edu	73104027	1	1	Likenew		53.49	73.49	 Fundamental Financial Accounting Concepts With Annual Report																			
1446366933	Branda.Brueggeman@duke.edu	73104450	1	1	Likenew		141.34	161.34	 Introduction to Chemical Engineering Thermodynamics																			
1446347053	Elza.Saucier@duke.edu	73104639	1	1	Likenew		142.43	162.43	 Engineering Electromagnetics																			
1446472612	Hilda.Dieter@duke.edu	73104647	1	1	Likenew		36.45	56.45	 Principles Of Electronic Materials And Devices																			
1446447829	Felipe.Eisenbarth@duke.edu	73105767	1	1	Likenew		67.21	87.21	 International Business:  The Challenge Of Global Competition																			
1446354917	Jacquelyn.Bogle@duke.edu	73107638	1	1	Likenew		102.26	122.26	 Foundations Of Materials Science And Engineering																			
1446361218	Harriette.Donaghy@duke.edu	73107670	1	1	Likenew		46.77	66.77	 Statistics For Engineers And Scientists																			
1446282303	Elayne.Howes@duke.edu	73107689	1	1	Likenew		100.88	120.88	 Thermodynamics:  An Engineering Approach.																			
1446455309	Keeley.Cole@duke.edu	73107956	1	1	Likenew		122.84	142.84	 Mechanics of Materials																			
1446311860	Scott.Janowski@duke.edu	007310874X	1	1	Likenew		50.84	70.84	 Applied Linear Statistical Models																			
1446392156	Shiloh.Lussier@duke.edu	007310938X	1	1	Likenew		68.92	88.92	 Hole's Essentials Of Human Anatomy And Physiology																			
1446406420	Elfreda.Linz@duke.edu	007310941X	1	1	Likenew		44.37	64.37	 Human Anatomy																			
1446510658	Doyle.Raybon@duke.edu	73109444	1	1	Likenew		144.14	164.14	 Design of Machinery:  An Introduction to the Synthesis and Analysis of Mechanisms and Machines																			
1446453948	Jean.Duerr@duke.edu	73109630	1	1	Likenew		23.23	43.23	 Organizational Behavior And Management																			
1446444828	Cher.Paulus@duke.edu	73121657	1	1	Likenew		85.86	105.86	 Basic Statistics For Business And Economics																			
1446487328	Su.Furlow@duke.edu	73121665	1	1	Likenew		121.45	141.45	 Operations Management																			
1446417545	Rachele.Lowman@duke.edu	73122580	1	1	Likenew		75.19	95.19	 Service Management: Operations/ Strategy/ and Information Technology																			
1446448792	Eric.Fentress@duke.edu	73122866	1	1	Likenew		90.53	110.53	 Vander's Human Physiology																			
1446302204	Leoma.Lasater@duke.edu	73126993	1	1	Likenew		23.56	43.56	 Project Management: The Managerial Process																			
1446283034	Sharen.Lacayo@duke.edu	73128929	1	1	Likenew		58	78	 Organizational Behavior																			
1446243353	Brittanie.Severance@duke.edu	73130826	1	1	Likenew		27.75	47.75	 Principles Of Corporate Finance																			
1446356926	Dawna.Herring@duke.edu	73131946	1	1	Likenew		70.2	90.2	 Human Resource Management:  Gaining A Competitive Advantage With Olc Card																			
1446390446	Waneta.Gossage@duke.edu	73134287	1	1	Likenew		97.58	117.58	 Fundamentals Of Corporate Finance																			
1446560449	Pa.Roger@duke.edu	73134295	1	1	Likenew		105.89	125.89	 Fundamentals Of Corporate Finance:  With S&p Card/ Student Cd																			
1446479156	Venetta.Golub@duke.edu	73134937	1	1	Likenew		101.94	121.94	 Fundamentals Of Investment Management + Pass Card																			
1446282365	Ramon.Eldred@duke.edu	73135690	1	1	Likenew		95.65	115.65	 Contemporary Advertising																			
1446394540	Kenton.Cavazos@duke.edu	73135852	1	1	Likenew		45.12	65.12	 International Management:  Culture/ Strategy And Behavior W/ Olc Card Mp																			
1446329544	Cassondra.Burkhead@duke.edu	73135941	1	1	Likenew		81	101	 Essentials Of Econometrics																			
1446363900	Harland.Schweigert@duke.edu	73136905	1	1	Likenew		130.08	150.08	 Selling: Building Partnerships																			
1446280510	Kristyn.Lasko@duke.edu	73137537	1	1	Likenew		112.45	132.45	 Auditing & Assurance Services:  A Systematic Approach																			
1446446032	Dori.Dineen@duke.edu	73138339	1	1	Likenew		46.99	66.99	 Organizational Behavior:  Key Concepts/ Skills & Best Practices																			
1446295152	Conception.Jalbert@duke.edu	73138967	1	1	Likenew		144.02	164.02	 Management:  A Practical Introduction With Online Learning Center With Premium Content Card																			
1446451097	Abel.Leventhal@duke.edu	73191752	1	1	Likenew		116	136	 Global Business Today																			
1446511512	Darwin.Hannaford@duke.edu	73191817	1	1	Likenew		121.46	141.46	 Theories of Personality																			
1446556586	Terina.Work@duke.edu	73191833	1	1	Likenew		130.52	150.52	 Social Psychology																			
1446320361	Dion.Hudec@duke.edu	73192635	1	1	Likenew		42.04	62.04	 Fundamentals Of Selling:  Customers For Life Through Service																			
1446237964	Sirena.Devine@duke.edu	73194174	1	1	Likenew		20.89	40.89	 Life Span Development																			
1446543240	Mindi.Almquist@duke.edu	73203130	1	1	Likenew		120.54	140.54	 Strategy: Winning In The Marketplace																			
1446380770	Herlinda.Felten@duke.edu	73205346	1	1	Likenew		28.04	48.04	 Engineering Economy																			
1446473250	Gay.Callanan@duke.edu	73211141	1	1	Likenew		95.61	115.61	 Introduction To Operations Research																			
1446456438	Noemi.Pressler@duke.edu	73214876	1	1	Likenew		119.46	139.46	 Business Research Methods																			
1446391909	Brandie.Moldenhauer@duke.edu	73215775	1	1	Likenew		116.92	136.92	73215775																			
1446374970	Dierdre.Schweitzer@duke.edu	73219460	1	1	Likenew		135.12	155.12	73219460																			
1446467890	Mina.Dunneback@duke.edu	73220337	1	1	Likenew		22.26	42.26	 Principles And Applications of Electrical Engineering																			
1446441125	Miesha.Rosales@duke.edu	73221074	1	1	Likenew		35.82	55.82	73221074																			
1446317333	Diedre.Wilkinson@duke.edu	73224359	1	1	Likenew		80.3	100.3	 Organizational Behavior																			
1446426067	Mercedez.Jusino@duke.edu	73229784	1	1	Likenew		93.79	113.79	 Calculus for Business/ Economics/ And the Social And Life Sciences With Mathzone																			
1446205965	Rochel.Gerst@duke.edu	73250325	1	1	Likenew		41.84	61.84	 Data Communications and Networking																			
1446546789	Veda.Buckley@duke.edu	73256439	1	1	Likenew		53.36	73.36	 Fundamentals of Electric Circuits																			
1446396785	Justina.Yawn@duke.edu	73660094	1	1	Likenew		87.94	107.94	 Electric Machinery																			
1446393040	Wendie.Lappin@duke.edu	73660558	1	1	Likenew		140.58	160.58	 Experimental Methods for Engineers																			
1446427148	Andreas.Byerley@duke.edu	125980558	1	1	Likenew		143.21	163.21	 Introduction to Probability Models																			
1446475284	Kaye.Maus@duke.edu	125980574	1	1	Likenew		49.86	69.86	 Introduction to Probablility and Statistics for Engineers and Scientists																			
1446334914	Erica.Whelan@duke.edu	130082058	1	1	Likenew		59.86	79.86	 Accounting Information Systems																			
1446320224	Noel.Mahnke@duke.edu	130083690	1	1	Likenew		94.21	114.21	 Statistics: The Art And Science of Learning from Data																			
1446402974	Trena.Mcmullan@duke.edu	130084611	1	1	Likenew		86.5	106.5	 Microeconomics																			
1446365888	Cristal.Essex@duke.edu	130085073	1	1	Likenew		26.26	46.26	 Introduction to Mathematical Statistics																			
1446310765	Alexander.Simonton@duke.edu	130085197	1	1	Likenew		55.91	75.91	 Digital Image Processing Using Matlab																			
1446352928	Siu.Gendreau@duke.edu	130088471	1	1	Likenew		69.58	89.58	 Management																			
1446392456	Delana.Winland@duke.edu	130167630	1	1	Likenew		52.29	72.29	 The Nature and Properties of Soils																			
1446377746	Marvin.Corlew@duke.edu	130175986	1	1	Likenew		52.87	72.87	 Management of Organizational Behavior:  Leading Human Resources																			
1446290317	Jerald.Stumbo@duke.edu	130281271	1	1	Likenew		90.75	110.75	 Statics and Mechanics of Materials																			
1446337802	Tiara.Auer@duke.edu	130307912	1	1	Likenew		136.25	156.25	 Fundamentals of Engineering Economics																			
1446452263	Tobias.Duval@duke.edu	130313580	1	1	Likenew		97.02	117.02	 Modern Operating Systems																			
1446214809	Tena.Holloway@duke.edu	130332712	1	1	Likenew		140.21	160.21	 Global Marketing Management																			
1446382168	Melda.Kinsey@duke.edu	013034074X	1	1	Likenew		41.8	61.8	 Computer Systems:  A Programmer's Perspective																			
1446515235	Blair.Wagnon@duke.edu	130342815	1	1	Likenew		55.33	75.33	 Discrete-Time Control Systems																			
1446330886	Luanne.Rowton@duke.edu	130352802	1	1	Likenew		86.66	106.66	 Contemporary Logistics																			
1446454502	Kennith.Ostler@duke.edu	130354716	1	1	Likenew		116.03	136.03	 Inorganic Chemistry																			
1446446274	Rosa.Gentry@duke.edu	130384712	1	1	Likenew		68.77	88.77	 Corporate Computer and Network Security																			
1446509621	Branden.Murphree@duke.edu	130404675	1	1	Likenew		102.65	122.65	 Principles of Service Marketing and Management																			
1446375208	Sara.Begum@duke.edu	130408719	1	1	Likenew		66.59	86.59	 Manufacturing Processes for Engineering Materials																			
1446398146	Marquitta.Knowles@duke.edu	130411507	1	1	Likenew		110.43	130.43	 Strategic Brand Management:  Building/ Measuring/ and Managing Brand Equity																			
1446436715	Micah.Maust@duke.edu	013041977X	1	1	Likenew		37.62	57.62	 Strategic Marketing for Nonprofit Organizations																			
1446562658	Tabitha.Comstock@duke.edu	130460192	1	1	Likenew		43.22	63.22	 Network Security:  Private Communication in a Public World																			
1446482617	Jeremiah.Sant@duke.edu	130461067	1	1	Likenew		37.41	57.41	 Decision Support Systems and Intelligent Systems																			
1446210690	Laurinda.Louden@duke.edu	130466417	1	1	Likenew		20.64	40.64	 Statistics for Business and Economics																			
1446537872	Eulah.Diggins@duke.edu	130471100	1	1	Likenew		133.46	153.46	 Object-Oriented Software Engineering:  Using Uml/ Patterns and Java																			
