email,name,phone_Number,major
Lynne.Starr@duke.edu,Lynne Starr Ê,(922) 733-9498,Theater Studies
Kip.Shawgo@duke.edu,Kip Shawgo Ê,(922) 181-8499,Visual Arts
Jovita.Bowersox@duke.edu,Jovita Bowersox Ê,(919) 547-6281,Visual and Media Studies
Emely.Theroux@duke.edu,Emely Theroux Ê,(919) 305-3685,Women's Studies
Robt.Hodes@duke.edu,Robt Hodes Ê,(918) 591-1038,African and African American Studies
Brande.Duffey@duke.edu,Brande Duffey Ê,(918) 528-8414,Art History
Aide.Plummer@duke.edu,Aide Plummer Ê,(918) 529-4818,Asian and Middle Eastern Studies
Laurence.Pottinger@duke.edu,Laurence Pottinger Ê,(918) 219-8765,Biology
Leona.Kimpel@duke.edu,Leona Kimpel Ê,(917) 837-2912,Biomedical Engineering*
Ona.Tarantino@duke.edu,Ona Tarantino Ê,(917) 564-5752,Biophysics
Tracie.Zirkle@duke.edu,Tracie Zirkle Ê,(916) 950-5534,Brazilian and Global Portuguese Studies
Nettie.Krogh@duke.edu,Nettie Krogh Ê,(915) 979-1994,Canadian Studies**
Garth.Earhart@duke.edu,Garth Earhart Ê,(915) 743-5978,Chemistry
Emilio.Tsan@duke.edu,Emilio Tsan Ê,(915) 393-5699,Civil Engineering*
Tish.Tickle@duke.edu,Tish Tickle Ê,(915) 261-2345,Classical Civilization
Candelaria.Buchler@duke.edu,Candelaria Buchler Ê,(912) 539-4002,Classical Languages
Eric.Threet@duke.edu,Eric Threet Ê,(912) 194-6023,Computer Science
Raguel.Wynn@duke.edu,Raguel Wynn Ê,(911) 157-4995,Cultural Anthropology
Trudy.Gondek@duke.edu,Trudy Gondek Ê,(910) 911-7432,Dance
Alberta.Aliff@duke.edu,Alberta Aliff Ê,(910) 485-6722,Earth and Ocean Sciences
Scarlett.Hillin@duke.edu,Scarlett Hillin Ê,(910) 795-8964,Economics
Tona.Gardin@duke.edu,Tona Gardin Ê,(910) 662-2391,Electrical and Computer Engineering*
Skye.Stahl@duke.edu,Skye Stahl Ê,(910) 421-6062,English
Demarcus.Vinzant@duke.edu,Demarcus Vinzant Ê,(910) 217-6053,Environmental Engineering*
Krishna.Goshorn@duke.edu,Krishna Goshorn Ê,(910) 804-5163,Environmental Sciences
Season.Eskew@duke.edu,Season Eskew Ê,(910) 623-2862,Environmental Sciences and Policy
Amado.Wolanski@duke.edu,Amado Wolanski Ê,(910) 324-1257,Evolutionary Anthropology
Marguerita.Vanhook@duke.edu,Marguerita Vanhook Ê,(899) 399-5570,French Studies
Shannon.Nieto@duke.edu,Shannon Nieto Ê,(898) 315-9479,German
Babara.Towler@duke.edu,Babara Towler Ê,(896) 468-3995,Global Cultural Studies
Herlinda.Dendy@duke.edu,Herlinda Dendy Ê,(895) 987-1129,Global Health**
Tawna.Gillett@duke.edu,Tawna Gillett Ê,(895) 635-7481,History
Jamal.Abernathy@duke.edu,Jamal Abernathy Ê,(894) 989-1055,Interdepartmental Major
Lashell.Waechter@duke.edu,Lashell Waechter Ê,(894) 304-8727,International Comparative Studies
Malinda.Santoyo@duke.edu,Malinda Santoyo Ê,(893) 427-1725,Italian Studies
Bernardina.Duncan@duke.edu,Bernardina Duncan Ê,(893) 225-7983,Linguistics
Lavina.Coger@duke.edu,Lavina Coger Ê,(892) 797-1855,Mathematics
Shirl.Pfeiffer@duke.edu,Shirl Pfeiffer Ê,(892) 569-9805,Mechanical Engineering*
Kirstie.Mincks@duke.edu,Kirstie Mincks Ê,(889) 234-2813,Medieval and Renaissance Studies
Silvia.Schisler@duke.edu,Silvia Schisler Ê,(888) 967-5603,Music
Armandina.Schwab@duke.edu,Armandina Schwab Ê,(888) 901-7302,Neuroscience
Emeline.Auston@duke.edu,Emeline Auston Ê,(887) 883-3790,Philosophy
Hugh.Puskar@duke.edu,Hugh Puskar Ê,(887) 840-5493,Physics
Felicidad.Feuerstein@duke.edu,Felicidad Feuerstein Ê,(886) 921-3739,Political Science
Shon.Wert@duke.edu,Shon Wert Ê,(886) 909-1013,Program II (self-designed degree/ BA or BS)
Francene.Boone@duke.edu,Francene Boone Ê,(886) 849-3941,Psychology
Kathline.Cornelius@duke.edu,Kathline Cornelius Ê,(886) 210-6205,Public Policy Studies
Janel.Mee@duke.edu,Janel Mee Ê,(886) 110-7993,Religious Studies
Colton.Mikelson@duke.edu,Colton Mikelson Ê,(885) 349-6923,Romance Studies
Lindsay.Szabo@duke.edu,Lindsay Szabo Ê,(884) 212-6357,Russian
Patrice.Ryland@duke.edu,Patrice Ryland Ê,(884) 210-8898,Slavic and Eurasian Studies
Art.Diniz@duke.edu,Art Diniz Ê,(881) 145-8457,Sociology
Katharine.Bucher@duke.edu,Katharine Bucher Ê,(879) 948-5627,Spanish/ Latin American/ and Latino/a Studies
Clarissa.Pannone@duke.edu,Clarissa Pannone Ê,(879) 226-5082,Statistical Science
Malika.Pouliot@duke.edu,Malika Pouliot Ê,(878) 732-8366,Theater Studies
Soledad.Oglesbee@duke.edu,Soledad Oglesbee Ê,(878) 539-5812,Visual Arts
Doreen.Milledge@duke.edu,Doreen Milledge Ê,(877) 926-6913,Visual and Media Studies
Johna.Willeford@duke.edu,Johna Willeford Ê,(877) 505-4091,Women's Studies
Alvin.Joesph@duke.edu,Alvin Joesph Ê,(876) 999-3677,African and African American Studies
Terrilyn.Sarabia@duke.edu,Terrilyn Sarabia Ê,(875) 651-7525,Art History
Desire.Getman@duke.edu,Desire Getman Ê,(875) 278-9383,Asian and Middle Eastern Studies
Latrina.Ertle@duke.edu,Latrina Ertle Ê,(875) 115-4816,Biology
Amee.Flinchbaugh@duke.edu,Amee Flinchbaugh Ê,(874) 907-1625,Biomedical Engineering*
Herta.Meltzer@duke.edu,Herta Meltzer Ê,(874) 764-1522,Biophysics
Wan.Catoe@duke.edu,Wan Catoe Ê,(873) 946-5354,Brazilian and Global Portuguese Studies
Larisa.Haider@duke.edu,Larisa Haider Ê,(873) 875-8414,Canadian Studies**
Brianna.Dingus@duke.edu,Brianna Dingus Ê,(873) 572-6329,Chemistry
Delmer.Oliphant@duke.edu,Delmer Oliphant Ê,(873) 173-2797,Civil Engineering*
Veta.Shumake@duke.edu,Veta Shumake Ê,(872) 434-9897,Classical Civilization
Karole.Fontaine@duke.edu,Karole Fontaine Ê,(871) 871-5934,Classical Languages
Cyndy.Parchman@duke.edu,Cyndy Parchman Ê,(871) 780-5907,Computer Science
Trang.Weymouth@duke.edu,Trang Weymouth Ê,(870) 388-4165,Cultural Anthropology
Deeann.Moorhouse@duke.edu,Deeann Moorhouse Ê,(869) 849-2535,Dance
Glendora.Arnett@duke.edu,Glendora Arnett Ê,(869) 267-7796,Earth and Ocean Sciences
Chelsea.Mandell@duke.edu,Chelsea Mandell Ê,(869) 200-9170,Economics
Tawanna.Lopez@duke.edu,Tawanna Lopez Ê,(868) 506-7827,Electrical and Computer Engineering*
Fleta.Friend@duke.edu,Fleta Friend Ê,(867) 460-1703,English
Lupita.Soliz@duke.edu,Lupita Soliz Ê,(864) 604-3424,Environmental Engineering*
Carolynn.Lisby@duke.edu,Carolynn Lisby Ê,(863) 681-1380,Environmental Sciences
Rex.Harstad@duke.edu,Rex Harstad Ê,(862) 488-2974,Environmental Sciences and Policy
Josette.Elsea@duke.edu,Josette Elsea Ê,(861) 755-6722,Evolutionary Anthropology
Esperanza.Conklin@duke.edu,Esperanza Conklin Ê,(861) 352-6635,French Studies
Melany.Vasko@duke.edu,Melany Vasko Ê,(860) 973-7373,German
Rebbecca.Teitelbaum@duke.edu,Rebbecca Teitelbaum Ê,(860) 601-4222,Global Cultural Studies
Leta.Buzard@duke.edu,Leta Buzard Ê,(860) 515-6952,Global Health**
Alex.Copenhaver@duke.edu,Alex Copenhaver Ê,(860) 850-5797,History
Joey.Trafton@duke.edu,Joey Trafton Ê,(859) 630-3139,Interdepartmental Major
Raina.Rizzo@duke.edu,Raina Rizzo Ê,(859) 413-8012,International Comparative Studies
Bernadine.Reasoner@duke.edu,Bernadine Reasoner Ê,(858) 164-9256,Italian Studies
Pauline.Stoney@duke.edu,Pauline Stoney Ê,(857) 483-8956,Linguistics
Setsuko.Steele@duke.edu,Setsuko Steele Ê,(857) 463-2903,Mathematics
Hee.Fetterolf@duke.edu,Hee Fetterolf Ê,(856) 799-6090,Mechanical Engineering*
Kiera.Even@duke.edu,Kiera Even Ê,(856) 186-7138,Medieval and Renaissance Studies
Elyse.Davi@duke.edu,Elyse Davi Ê,(854) 140-6004,Music
Lesia.Cayetano@duke.edu,Lesia Cayetano Ê,(853) 553-1427,Neuroscience
Virgina.Mister@duke.edu,Virgina Mister Ê,(853) 444-7965,Philosophy
Giovanni.Bucholz@duke.edu,Giovanni Bucholz Ê,(852) 719-1641,Physics
Ardelia.Wendorf@duke.edu,Ardelia Wendorf Ê,(852) 374-5206,Political Science
Aundrea.Halliday@duke.edu,Aundrea Halliday Ê,(851) 725-8632,Program II (self-designed degree/ BA or BS)
Jasmine.Sutterfield@duke.edu,Jasmine Sutterfield Ê,(851) 546-2555,Psychology
Sachiko.Sliger@duke.edu,Sachiko Sliger Ê,(851) 322-1414,Public Policy Studies
Lasonya.Marable@duke.edu,Lasonya Marable Ê,(850) 562-8233,Religious Studies
Ferdinand.Herford@duke.edu,Ferdinand Herford Ê,(850) 375-7007,Romance Studies
Merna.Keisler@duke.edu,Merna Keisler Ê,(849) 259-2390,Russian
Clorinda.Burrows@duke.edu,Clorinda Burrows Ê,(848) 673-3441,Slavic and Eurasian Studies
Allie.Meller@duke.edu,Allie Meller Ê,(848) 640-1356,Sociology
Joannie.Oldfield@duke.edu,Joannie Oldfield Ê,(848) 164-1153,Spanish/ Latin American/ and Latino/a Studies
Wai.Dock@duke.edu,Wai Dock Ê,(847) 116-9237,Statistical Science
Elvis.Renda@duke.edu,Elvis Renda Ê,(846) 846-9230,Theater Studies
Elenora.Wolff@duke.edu,Elenora Wolff Ê,(844) 616-9903,Visual Arts
Karla.Hodgkinson@duke.edu,Karla Hodgkinson Ê,(844) 364-3864,Visual and Media Studies
Donette.Neely@duke.edu,Donette Neely Ê,(843) 838-9508,Women's Studies
Divina.Buchwald@duke.edu,Divina Buchwald Ê,(843) 359-5506,African and African American Studies
Dante.Goldsby@duke.edu,Dante Goldsby Ê,(843) 110-4909,Art History
Annabell.Kocian@duke.edu,Annabell Kocian Ê,(842) 436-5282,Asian and Middle Eastern Studies
Amiee.Ferrari@duke.edu,Amiee Ferrari Ê,(842) 126-4341,Biology
Nakita.Burtenshaw@duke.edu,Nakita Burtenshaw Ê,(841) 840-8394,Biomedical Engineering*
Bonita.Bogar@duke.edu,Bonita Bogar Ê,(841) 207-3570,Biophysics
Silvia.Neblett@duke.edu,Silvia Neblett Ê,(840) 962-6906,Brazilian and Global Portuguese Studies
Hien.Widner@duke.edu,Hien Widner Ê,(840) 306-9870,Canadian Studies**
Echo.Katz@duke.edu,Echo Katz Ê,(840) 288-2853,Chemistry
Shayla.Vantassel@duke.edu,Shayla Vantassel Ê,(840) 341-7575,Civil Engineering*
Margy.Sabbagh@duke.edu,Margy Sabbagh Ê,(840) 332-3548,Classical Civilization
Zenaida.Stthomas@duke.edu,Zenaida Stthomas Ê,(840) 266-2076,Classical Languages
Jaclyn.Pilling@duke.edu,Jaclyn Pilling Ê,(839) 478-8130,Computer Science
Janella.Garden@duke.edu,Janella Garden Ê,(839) 121-5974,Cultural Anthropology
Wilbur.Noe@duke.edu,Wilbur Noe Ê,(837) 555-7222,Dance
Jacelyn.Martindale@duke.edu,Jacelyn Martindale Ê,(837) 417-1976,Earth and Ocean Sciences
Mari.Mcdole@duke.edu,Mari Mcdole Ê,(836) 865-3865,Economics
Rigoberto.Burchett@duke.edu,Rigoberto Burchett Ê,(836) 250-4109,Electrical and Computer Engineering*
Deanne.Gifford@duke.edu,Deanne Gifford Ê,(835) 659-1201,English
Selena.Piasecki@duke.edu,Selena Piasecki Ê,(832) 531-4907,Environmental Engineering*
Lisabeth.Dejonge@duke.edu,Lisabeth Dejonge Ê,(832) 186-4018,Environmental Sciences
Angelique.Losee@duke.edu,Angelique Losee Ê,(831) 552-9565,Environmental Sciences and Policy
Milagro.Aiello@duke.edu,Milagro Aiello Ê,(830) 519-5528,Evolutionary Anthropology
Suzan.Kreiger@duke.edu,Suzan Kreiger Ê,(830) 930-3314,French Studies
Inger.Rives@duke.edu,Inger Rives Ê,(830) 122-3347,German
Leisha.Starcher@duke.edu,Leisha Starcher Ê,(829) 878-9200,Global Cultural Studies
Elza.Shirey@duke.edu,Elza Shirey Ê,(829) 805-2201,Global Health**
Setsuko.Gurney@duke.edu,Setsuko Gurney Ê,(829) 636-1751,History
Agueda.Tovar@duke.edu,Agueda Tovar Ê,(828) 900-4904,Interdepartmental Major
Casie.Gerke@duke.edu,Casie Gerke Ê,(828) 729-9266,International Comparative Studies
Shirleen.Schroyer@duke.edu,Shirleen Schroyer Ê,(828) 213-5973,Italian Studies
Jeff.Notaro@duke.edu,Jeff Notaro Ê,(827) 955-5317,Linguistics
Suzette.Ruelas@duke.edu,Suzette Ruelas Ê,(826) 896-5191,Mathematics
Samara.Hurt@duke.edu,Samara Hurt Ê,(826) 537-1451,Mechanical Engineering*
Avis.Street@duke.edu,Avis Street Ê,(826) 125-4000,Medieval and Renaissance Studies
Elvie.Weiser@duke.edu,Elvie Weiser Ê,(825) 655-7647,Music
Daniela.Calender@duke.edu,Daniela Calender Ê,(825) 184-1103,Neuroscience
Tiffaney.Alanis@duke.edu,Tiffaney Alanis Ê,(824) 588-4673,Philosophy
Kimbra.Shipton@duke.edu,Kimbra Shipton Ê,(823) 684-4928,Physics
Selina.Riney@duke.edu,Selina Riney Ê,(821) 233-5754,Political Science
Beverly.Crespin@duke.edu,Beverly Crespin Ê,(820) 586-7328,Program II (self-designed degree/ BA or BS)
Ta.Audet@duke.edu,Ta Audet Ê,(820) 937-4555,Psychology
Bula.Cann@duke.edu,Bula Cann Ê,(820) 655-4666,Public Policy Studies
Cheri.Dukes@duke.edu,Cheri Dukes Ê,(818) 981-2793,Religious Studies
Arturo.Pare@duke.edu,Arturo Pare Ê,(818) 528-1319,Romance Studies
Kathyrn.Litman@duke.edu,Kathyrn Litman Ê,(817) 583-8508,Russian
Nieves.Record@duke.edu,Nieves Record Ê,(816) 206-5215,Slavic and Eurasian Studies
Wynona.Marse@duke.edu,Wynona Marse Ê,(815) 639-2507,Sociology
Margert.Sarkis@duke.edu,Margert Sarkis Ê,(815) 303-7185,Spanish/ Latin American/ and Latino/a Studies
Shakia.Near@duke.edu,Shakia Near Ê,(814) 874-6205,Statistical Science
Leola.Yadon@duke.edu,Leola Yadon Ê,(814) 101-5667,Theater Studies
Syreeta.Fraizer@duke.edu,Syreeta Fraizer Ê,(811) 539-9817,Visual Arts
Neville.Saucedo@duke.edu,Neville Saucedo Ê,(811) 260-1692,Visual and Media Studies
Kennith.Hendley@duke.edu,Kennith Hendley Ê,(810) 683-2753,Women's Studies
Jules.Ferdinand@duke.edu,Jules Ferdinand Ê,(810) 153-9301,African and African American Studies
Shawn.Lobdell@duke.edu,Shawn Lobdell Ê,(810) 383-3942,Art History
Dorian.Neese@duke.edu,Dorian Neese Ê,(799) 404-6966,Asian and Middle Eastern Studies
Jodi.Torbert@duke.edu,Jodi Torbert Ê,(798) 586-5623,Biology
Frieda.Geise@duke.edu,Frieda Geise Ê,(796) 472-3208,Biomedical Engineering*
Dion.Digennaro@duke.edu,Dion Digennaro Ê,(795) 842-5860,Biophysics
Noemi.Schumaker@duke.edu,Noemi Schumaker Ê,(795) 737-6779,Brazilian and Global Portuguese Studies
Alex.Fife@duke.edu,Alex Fife Ê,(794) 863-6429,Canadian Studies**
Celine.Scranton@duke.edu,Celine Scranton Ê,(793) 547-1797,Chemistry
Chantell.Horst@duke.edu,Chantell Horst Ê,(792) 572-6274,Civil Engineering*
Lessie.Stephens@duke.edu,Lessie Stephens Ê,(792) 488-4559,Classical Civilization
Manda.Tokarz@duke.edu,Manda Tokarz Ê,(792) 406-4577,Classical Languages
Polly.Friedrich@duke.edu,Polly Friedrich Ê,(791) 423-4382,Computer Science
Shelby.Yarnell@duke.edu,Shelby Yarnell Ê,(791) 297-6262,Cultural Anthropology
Jospeh.Allyn@duke.edu,Jospeh Allyn Ê,(791) 124-9756,Dance
Elvie.Paley@duke.edu,Elvie Paley Ê,(790) 833-9585,Earth and Ocean Sciences
Jarvis.Mctaggart@duke.edu,Jarvis Mctaggart Ê,(789) 982-6073,Economics
Collen.Machen@duke.edu,Collen Machen Ê,(789) 797-7459,Electrical and Computer Engineering*
Jeannette.Vandergriff@duke.edu,Jeannette Vandergriff Ê,(788) 963-6668,English
Holly.Lauder@duke.edu,Holly Lauder Ê,(788) 691-3546,Environmental Engineering*
Veronika.Eide@duke.edu,Veronika Eide Ê,(788) 336-4626,Environmental Sciences
Evette.Dake@duke.edu,Evette Dake Ê,(788) 297-4031,Environmental Sciences and Policy
Ricki.Eckart@duke.edu,Ricki Eckart Ê,(786) 831-8097,Evolutionary Anthropology
Mignon.Cecena@duke.edu,Mignon Cecena Ê,(786) 580-7935,French Studies
Maynard.To@duke.edu,Maynard To Ê,(781) 594-9105,German
Karole.Chronister@duke.edu,Karole Chronister Ê,(781) 322-9655,Global Cultural Studies
Stefani.Flanders@duke.edu,Stefani Flanders Ê,(780) 928-4713,Global Health**
Bryce.Mcclellan@duke.edu,Bryce Mcclellan Ê,(777) 912-8289,History
Millie.Renard@duke.edu,Millie Renard Ê,(776) 661-9403,Interdepartmental Major
Krystyna.Sarvis@duke.edu,Krystyna Sarvis Ê,(775) 988-6369,International Comparative Studies
Goldie.Rumery@duke.edu,Goldie Rumery Ê,(775) 725-3256,Italian Studies
Gracie.Dantin@duke.edu,Gracie Dantin Ê,(775) 119-4208,Linguistics
Nancy.Klenke@duke.edu,Nancy Klenke Ê,(774) 264-1263,Mathematics
Alisha.Saban@duke.edu,Alisha Saban Ê,(774) 254-2670,Mechanical Engineering*
Willard.Cherry@duke.edu,Willard Cherry Ê,(772) 660-6594,Medieval and Renaissance Studies
Jean.Harbuck@duke.edu,Jean Harbuck Ê,(772) 424-3099,Music
Luciana.Elmore@duke.edu,Luciana Elmore Ê,(772) 224-9165,Neuroscience
Merideth.Kersey@duke.edu,Merideth Kersey Ê,(771) 474-8856,Philosophy
Vanetta.Arvizu@duke.edu,Vanetta Arvizu Ê,(771) 354-5759,Physics
Dione.Nembhard@duke.edu,Dione Nembhard Ê,(770) 880-6648,Political Science
Nakisha.Vancleve@duke.edu,Nakisha Vancleve Ê,(770) 657-5748,Program II (self-designed degree/ BA or BS)
Khalilah.Lambson@duke.edu,Khalilah Lambson Ê,(770) 700-1163,Psychology
Berniece.Mccuin@duke.edu,Berniece Mccuin Ê,(770) 375-7227,Public Policy Studies
